,Date,Open,High,Low,Close*,Adj Close**,Volume
86,"Jul 20, 2023",279.56,280.93,261.20,262.90,262.90,"175,158,300"
87,"Jul 19, 2023",296.04,299.29,289.52,291.26,291.26,"142,355,400"
88,"Jul 18, 2023",290.15,295.26,286.01,293.34,293.34,"112,434,700"
89,"Jul 17, 2023",286.63,292.23,283.57,290.38,290.38,"131,569,600"
90,"Jul 14, 2023",277.01,285.30,276.31,281.38,281.38,"119,771,100"
91,"Jul 13, 2023",274.59,279.45,270.60,277.90,277.90,"112,681,500"
92,"Jul 12, 2023",276.33,276.52,271.46,271.99,271.99,"95,672,100"
93,"Jul 11, 2023",268.65,270.90,266.37,269.79,269.79,"91,972,400"
94,"Jul 10, 2023",276.47,277.52,265.10,269.61,269.61,"119,425,400"
95,"Jul 07, 2023",278.43,280.78,273.77,274.43,274.43,"113,602,000"
96,"Jul 06, 2023",278.09,279.97,272.88,276.54,276.54,"120,332,100"
97,"Jul 05, 2023",278.82,283.85,277.60,282.48,282.48,"131,530,900"
98,"Jul 03, 2023",276.49,284.25,275.11,279.82,279.82,"119,685,900"
99,"Jun 30, 2023",260.60,264.45,259.89,261.77,261.77,"112,267,600"
